type,id,explanation,material_1,material_2,material_3,,,,
Jump,0,ジャンプができる,-1,-1,-1,,,,
DowbleJump,1,２回ジャンプができる,0,0,-1,,,,
Tackle,5,入力方向に突進ができる,4,4,-1,,,,
AirDush,3,空中でダッシュができる,0,4,-1,,,,
Dush,4,ダッシュができる,-1,-1,-1,,,,
Punch,2,パンチができる,-1,-1,-1,,,,
None,-1,存在しない,-1,-1,-1,,,,
None,-1,存在しない,-1,-1,-1,,,,
None,-1,存在しない,-1,-1,-1,,,,
None,-1,存在しない,-1,-1,-1,,,,
None,-1,存在しない,-1,-1,-1,,,,
None,-1,存在しない,-1,-1,-1,,,,
None,-1,存在しない,-1,-1,-1,,,,
None,-1,存在しない,-1,-1,-1,,,,
None,-1,存在しない,-1,-1,-1,,,,
None,-1,存在しない,-1,-1,-1,,,,
None,-1,存在しない,-1,-1,-1,,,,
None,-1,存在しない,-1,-1,-1,,,,
None,-1,存在しない,-1,-1,-1,,,,
None,-1,存在しない,-1,-1,-1,,,,
None,-1,存在しない,-1,-1,-1,,,,
None,-1,存在しない,-1,-1,-1,,,,
None,-1,存在しない,-1,-1,-1,,,,
None,-1,存在しない,-1,-1,-1,,,,
None,-1,存在しない,-1,-1,-1,,,,
None,-1,存在しない,-1,-1,-1,,,,
None,-1,存在しない,-1,-1,-1,,,,
None,-1,存在しない,-1,-1,-1,,,,
